Tickets,Category,Priority,Complaint_Group
Authorisation to my wife Smt PK Dhanyakumari Nair to appear before court proceedings,Administrative,P2 - Medium,Administrative
Repeated Revert Due to Incorrect State Commission Mapping – Case Belongs to District Commission Deoria,Administrative,P1 - High,Administrative
"What is the status on my reference number 202510271571, Application (IA) filing reference number 202511291124?",Information Only,P3 - Low,Information
Follow-up on Status of Consumer Complaint – Filing Reference No. 202511290893 Filed on 8th December 2025,Information Only,P3 - Low,Information
Mental Harassment by Air India express,Incident,P3 - Low,Complaint
Application pending for scrutiny over 2 months,Administrative,P2 - Medium,Scrutiny Delay
Request for guidance regarding court judgment – Case No. DC/80/CC/250/2023,Information Only,P3 - Low,Information
not able to download payment receipt,Bug,P1 - High,Payment Issues
Case pending for scrutiny – documents re-uploaded,Administrative,P2 - Medium,Fix
Consumer Complaint Pending for Scrutiny,Administrative,P2 - Medium,Scrutiny Delay
unbable too see any cases of mine in login in,Service Request,P1 - High,Fix
Refund not provided in original payment method.,Incident,P1 - High,Payment Issues
Delay in Scrutiny of Consumer Complaint Filed on 30-03-2025 – Amravati District Commission,Administrative,P2 - Medium,Scrutiny Delay
Advocate Name,Service Request,P2 - Medium,Update Info
Payment Issue,Incident,P1 - High,Payment Issues
Subject: Delay in Scrutiny - Diary No. 202601020027,Administrative,P2 - Medium,Scrutiny Delay
Delay in Scrutiny - Diary No. 202601180042,Administrative,P2 - Medium,Scrutiny Delay
REQUEST FOR COMPLETION OF SCRUTINY - SENIOR CITIZEN CASE,Administrative,P2 - Medium,Scrutiny Delay
Scrutiny of complaint,Administrative,P2 - Medium,Scrutiny Delay
Pending for date of hearing allocation,Administrative,P1 - High,Update Info
Need to Change contact number,Service Request,P1 - High,Update Info
Regarding Daily Order,Administrative,P1 - High,Update Info
irregularity in Dash board,Service Request,P1 - High,Fix
CASE PENDING FOR SCRUTINY FROM LAST 4 DAYS,Administrative,P2 - Medium,Scrutiny Delay
No update on e-Daakhil case filed on 05-01-2026 (Ref No. 202601040432),Administrative,P1 - High,Update Info
NO INTIMATION OF CASE ADMISSION,Administrative,P2 - Medium,Scrutiny Delay
Court Fee Payment,Information Only,P2 - Medium,Payment Issues
Complaint Filed bearing number NC/RP/92/2026 (NARINDERBIR SINGH MD OF MANOHAR INFRASTRUCTURE & CONSTRUCTIONS PVT. LTD Vs.SANCHITA CHAUHAN) not accessible,Service Request,P1 - High,Fix
Complaint regarding non-refund and deficiency of service by Story TV,Incident,P1 - High,Complaint
pending for scrutiny,Administrative,P2 - Medium,Scrutiny Delay
appeal was filed in the wrong place (Dharashiv instead of Chhatrapati Sambhaji Nagar/Aurangabad Bench,Information Only,P1 - High,Information
Request for Withdrawal and Closure of Complaint,Administrative,P2 - Medium,Administrative
Pending complaint,Information Only,P3 - Low,Scrutiny Delay
Delay in Scrutiny – Complaint Pending for 25 Days,Administrative,P2 - Medium,Scrutiny Delay
Shiprocket my parcel hold 14 days and after don't give me my parcel,Information Only,P3 - Low,Complaint
District Commission refusing VC and insisting physical visit without order.,Information Only,P3 - Low,Hearing / VC Requests
Meesho fraud,Incident,P1 - High,Complaint
Dispute: Refund Denied for Downgraded Superman IMAX 3D Booking at PVR Saket,Incident,P1 - High,Complaint
Deficiency in Service and Unfair Charges by Livpure RO – Ref ID JS-260115104124180,Incident,P3 - Low,Complaint
Filing pending under scrutiny,Administrative,P2 - Medium,Scrutiny Delay
Case Pending for Scrutiny – Request for Status Update,Administrative,P2 - Medium,Scrutiny Delay
Profile Information,Service Request,P2 - Medium,Update Info
Pending for Scrutiny is not getting through,Administrative,P2 - Medium,Scrutiny Delay
"clerical error while filing the case online, the Claim Consideration was mentioned as ?37,900",Administrative,P1 - High,Update Info
How to apply only case without advocate,Information Only,P3 - Low,Update Info
NON DELIVERY OF LPG GAS REFILL,Incident,P3 - Low,Complaint
Subject - Application for Adjournment – Case No. DC/144/CC/34/2026,Administrative,P2 - Medium,Administrative
"Ola - Refund of ?1,427 Not Received (Ride ID: 9875688791)",Incident,P3 - Low,Complaint
filing date incorrect,Administrative,P1 - High,Update Info
CASE STILL PENDING FOR SCRUTINY,Administrative,P2 - Medium,Scrutiny Delay
Case Pending since 6 months,Administrative,P3 - Low,Scrutiny Delay
Inform Next Hearing Date,Administrative,P1 - High,Update Info
Delay in scrutiny of consumer complaint – Request for expediting,Administrative,P2 - Medium,Scrutiny Delay
Case pending for Scrutiny since 90 DAYS filed reference number 202511160637 pending since,Administrative,P2 - Medium,Scrutiny Delay
Error is popping up while deleting a Party (Complainant),Bug,P1 - High,Fix
Request for Virtual Hearing & Email Communication — Case No. CC/513/2025,Information Only,P3 - Low,Hearing / VC Requests
Case pending for scrutiny since 19 January 2026,Administrative,P2 - Medium,Scrutiny Delay
Case Pending for Scrutiny,Administrative,P2 - Medium,Scrutiny Delay
"While paying using the card, the payment is failing. It is going to end page",Incident,P1 - High,Payment Issues
Not able to file First Appeal before Delhi State Commission,Information Only,P3 - Low,Information
Regarding Pending Consumer Case (Filed on 10/01/2026) Follow-up on Consumer Complaint Status,Information Only,P3 - Low,Information
CASE STTAUS NOT GUIDE RELATED PAYMENT OR CASE ACCPETED,Incident,P1 - High,Payment Issues
Case is pending for scrutiny from last 4 months,Administrative,P2 - Medium,Scrutiny Delay
first appeal revert update,Administrative,P2 - Medium,Update Info
Pending for scrutiny,Administrative,P2 - Medium,Scrutiny Delay
Case - 202511150988 - Pending for Scrutiny,Administrative,P2 - Medium,Scrutiny Delay
Rescheduling Hearing Date,Administrative,P2 - Medium,Update Info
Delay in Complaint Review – Reference No. 202512040278,Information Only,P3 - Low,Complaint
Consumer Grievance Docket No: 8336742,Incident,P3 - Low,Complaint
Complaint against Samsung mobile company,Incident,P3 - Low,Complaint
My Case is Reverted Again and Again,Administrative,P2 - Medium,Administrative
Regarding Hearing Dates of my Case No DC/518/CC/469/2025,Administrative,P2 - Medium,Update Info
Samsung tv in Warrenty but didn't given any service but always closed my complain without my concurrence,Incident,P3 - Low,Complaint
Case locked for compliance – upload option not available,Bug,P1 - High,Fix
Document not displayed.,Service Request,P1 - High,Fix
FILE NO 202601070752 IS STILL SHOWING AS PENDING FOR SCRUTINY,Administrative,P2 - Medium,Scrutiny Delay
Case diary,Administrative,P1 - High,Scrutiny Delay
Complaint regarding ICICI Lombard,Incident,P3 - Low,Update Info
IA Missing After Approval – Case No. DC/303/CC/2197/2025,Bug,P1 - High,Fix
Request for Technical Assistance Regarding Draft Cases and Name Correction,Service Request,P2 - Medium,Update Info
UPDATION OF CASE DETAILS,Administrative,P1 - High,Update Info
Mere KODAK LED TV 3 mahine se pending hai Grievance Number 8403862,Incident,P3 - Low,Complaint
"Deficiency in Service, Mental Harassment, Financial Loss and Demand for Compensation",Incident,P3 - Low,Complaint
APPLICATION FOR VIDEO CONFERENCING FACILITY AND EXEMPTION FROM PERSONAL APPEARANCE,Administrative,P1 - High,Hearing / VC Requests
Deletion of Draft Case - Requested,Service Request,P2 - Medium,Delete Blocked
Payment of Court Fee - How?,Information Only,P1 - High,Information
payment deducted from account but recepit not generated,Service Request,P1 - High,Payment Issues
Refund not received from meesho,Incident,P3 - Low,Complaint
Complaint Regarding Inverter Battery Issue Under Warranty,Incident,P3 - Low,Complaint
Urgent: Case Pending for Scrutiny for Over 90 Days – Filing Ref. No. 202510280247,Administrative,P2 - Medium,Scrutiny Delay
"Complaint Against Apple India Pvt. Ltd. for Data Loss, Deficiency in Service and Negligence",Incident,P3 - Low,Complaint
Online Consumer Case under Scrutiny – Request for Expedited Scrutiny (Filed on 16 November 2025),Administrative,P2 - Medium,Scrutiny Delay
Unable to Access Documents Filed by Complainant on e-Jagriti Portal,Bug,P1 - High,Fix
Not able to upload cases under Advocate category in the Name A.Sivasubramanian,Service Request,P2 - Medium,Update Info
Unable to view the case or download documents,Bug,P1 - High,Fix
"Consumer Complaint under Section 35 of the Consumer Protection Act, 2019",Incident,P3 - Low,Complaint
Case pending for scrutiny for over 2 months,Administrative,P2 - Medium,Scrutiny Delay
Complaint Under Scrutiny – Payment Not Enabled | Filing Reference No: 202512140315,Incident,P1 - High,Payment Issues
Update my email ID to 'himanit357@gmail.com',Service Request,P2 - Medium,Update Info
i submitted my IA through ejagriti. but it disappeared after submission.,Bug,P1 - High,Fix
Complain against ola electric,Incident,P3 - Low,Complaint
Reverted section is not showing reverted cases,Administrative,P2 - Medium,Fix
DIFFICULTY IN UPLOADING ADVOCATE DETAILS WHILE FILING APPEALS,Service Request,P2 - Medium,Update Info
E commerce shopping fraud,Incident,P1 - High,Complaint
I am not getting support from TATA Motors for the wrong product delivered,Incident,P1 - High,Complaint
No one is providing support in JIO,Information Only,P3 - Low,Complaint
PAYMENT FAILURE,Incident,P1 - High,Payment Issues
scrutiny is still pending,Administrative,P2 - Medium,Scrutiny Delay
Repeated revert despite correct detailed index and page numbering,Administrative,P2 - Medium,Administrative
Affidavit resubmitted..... With proper details,Information Only,P3 - Low,Information
Fraud in the name of sneaker selling,Incident,P3 - Low,Complaint
Maine 50000 ka furniture kharida aur Mere Sath froad hua,Incident,P3 - Low,Complaint
Unable to Download Copies of Documents,Bug,P1 - High,Fix
"Formal Complaint Against M/s Indigo Airlines for Non-Compliance with DGCA CAR Section 3, Series 'M', Part IV, Regarding Compensation for Flight Cancellation and delayed.",Incident,P3 - Low,Complaint
Payment made for service but service not provided (Online Service Fraud),Incident,P1 - High,Payment Issues
DO WE NEED TO SUBMIT PHYSICAL DOCUMENTS IN THE CONCERNED COMMISSION,Administrative,P2 - Medium,Administrative
Complaint pending for scrutiny after compliance,Administrative,P2 - Medium,Scrutiny Delay
Case is pending in Court but not updated.,Administrative,P2 - Medium,Update Info
REFUND OF AMOUNT FOR TICKET CANCELLED BY INDIGO AIRLINES,Incident,P1 - High,Complaint
I want to know wheather the Appeal is made in this consumer complaint or not,Information Only,P3 - Low,Information
Defective Ola Electric scooter fraud,Incident,P1 - High,Complaint
My subsequent filing of Vakkalat for respondent 2 not recorded online - SC/CB1/33/FA/759/2025 - Filing ID - 202510110184,Information Only,P3 - Low,Information
Case number not updated,Administrative,P2 - Medium,Scrutiny Delay
delay in scrutiny of consumer case filed on 13 nov 2025.,Administrative,P2 - Medium,Scrutiny Delay
Boat Bluetooth Rugby blutooth spekar company Service Ticket Number 62831090,Incident,P3 - Low,Complaint
Request for Action against Ola electric,Incident,P3 - Low,Complaint
NO UPDATE ON THE MATTER FILED BY ME.,Administrative,P1 - High,Update Info
Legal Action for Flipkart and SBI credit Card,Incident,P3 - Low,Complaint
Urgent – Online Hearing Link Not Received (Case No. DC/459/CC/780/2025),Administrative,P1 - High,Hearing / VC Requests
Recurrent Green Line Issue on Samsung handset,Incident,P3 - Low,Complaint
Hearing date of DC/AB1/303/CC/174/2025 pending and date not given,Administrative,P2 - Medium,Update Info
Product Related Issues,Incident,P3 - Low,Complaint
Complaint Pending Under Scrutiny – Request for Status Update,Administrative,P2 - Medium,Scrutiny Delay
Written Submissions Pending Approval – Request for Registry Action,Administrative,P2 - Medium,Scrutiny Delay
Problem in filing due to error of site working,Bug,P1 - High,Fix
LGOLED Complaint Withdraw request for our complaint Ref No - 202601010199,Administrative,P2 - Medium,Administrative
Delay in Scrutiny of Complaint(s) – e-Jagriti Portal,Administrative,P2 - Medium,Scrutiny Delay
urgent : scrutiny delay for case : filling number (202601231184),Administrative,P2 - Medium,Scrutiny Delay
Request for change in hearing date for case no DD/144/CC/26/2026,Administrative,P2 - Medium,Update Info
"UNABLE TO UPLOAD SUBSEQUENT FILING IN FA 846/2025, FA 847/2025, FA 848/2025, BEFORE TELANGANA STATE COMMISSION",Bug,P1 - High,Upload / Document Issues
Deficiency in service,Incident,P3 - Low,Complaint
Car booking cancellation amount not refunded,Incident,P3 - Low,Complaint
online shopping,Information Only,P3 - Low,Complaint
Adjournment Request Case No. DC/144/CC/34/2026 (Regenta Resort).,Administrative,P2 - Medium,Administrative
Taking too long to proceed 202511230165,Information Only,P3 - Low,Scrutiny Delay
For mobile sale in samsung company bgic sale mobile d o I certificate not providing samsung company already defensive mobile dead in mobile,Incident,P3 - Low,Complaint
Complaint status Related,Incident,P3 - Low,Complaint
Case still in scrutiny.,Administrative,P2 - Medium,Scrutiny Delay
Clarification and Written Reason for Non-Acceptance of Consumer Complaint at Scrutiny Stage,Administrative,P2 - Medium,Administrative
not able to delete case in drafts,Information Only,P3 - Low,Fix
Documents filed in cases not reflecting,Bug,P1 - High,Fix
Mismatch Between Email and Portal Status – Case No. 202512280281,Bug,P1 - High,Fix
Application reverted,Administrative,P2 - Medium,Administrative
Critical: e-Jagriti Portal Downtime (DNS Failure) and Security Risk (SSL/Connection Unsecure),Bug,P1 - High,Fix
Reupload file on same case number,Bug,P1 - High,Fix
Session getting expired whenever I’m trying to file new case,Information Only,P3 - Low,Information
Case Category drop box not responding,Bug,P1 - High,Fix
unable to select commission name,Information Only,P3 - Low,Information
Regarding change of party details which is by default or mistakenly mentioned wrongly in application number 202601291562,Administrative,P3 - Low,Update Info
SCOOTER SERVICES ISSUE,Incident,P3 - Low,Complaint
Technical Issue – Unable to proceed / Raise ticket issue,Bug,P1 - High,Fix
unable to upload a document,Bug,P1 - High,Fix
while filing first appeal add another advocate is possible,Information Only,P3 - Low,Information
Revision filing NCDRC final submissio option of forum droplist not functional,Bug,P1 - High,Fix
Pending for Scrutiny since 08-01-2026,Administrative,P2 - Medium,Scrutiny Delay
Request for Early Scrutiny – Consumer Complaint (Filing Ref. No. 202512011628),Administrative,P2 - Medium,Scrutiny Delay
Wrong product issue,Incident,P3 - Low,Complaint
DC/518/CC/411/2025 - Reply filed on 09.10.2025 but not reflecting,Bug,P1 - High,Fix
e filed case is missing,Bug,P1 - High,Fix
Complaint against Domino's Pizza for Non- Delivery of order marked as delivered,Incident,P3 - Low,Complaint
Recharge not made by jio but money deducted,Incident,P3 - Low,Complaint
I filled a Complaint before 2 months ago But didn't get any response. Reference number- 202512130002,Administrative,P2 - Medium,Scrutiny Delay
URGENT: Obstruction of Redressal & Support Malpractice - Case Ref: 202601050843,Incident,P3 - Low,Complaint
Subject: Issue in adding Additional Applicant on e-Jagriti Portal,Bug,P1 - High,Fix
Unable to file IA,Information Only,P3 - Low,Information
Unable to file IA in Revision Petition,Information Only,P3 - Low,Information
Unable to file Appeal,Information Only,P3 - Low,Information
unable to upload IA case in Execution Application case.,Bug,P1 - High,Upload / Document Issues
Rectification option not enabled after scrutiny reversion,Administrative,P2 - Medium,Scrutiny Delay
Grievance Regarding Warranty Denial and Mishandling of Product During Service,Incident,P1 - High,Complaint
Enquiry about my case,Information Only,P3 - Low,Information
Company Give second har car,Incident,P3 - Low,Complaint
Dellay in scriniting,Administrative,P2 - Medium,Scrutiny Delay
Prolong delay in delivery of order,Administrative,P2 - Medium,Administrative
Bank of Maharashtra deducted account Maintenance charges without any notice or information. Bank of Maharashtra docket no:- W367034163 consumer affairs Docket no:- 8600284 Public grievance docket no:- DEABD/E/2026/0014106.,Incident,P3 - Low,Complaint
Unfair Trade Practice – Non-Usage of Airtel Add-On Data Pack and Lack of Disclosure – Airtel Prepaid Add-On Data Pack Not Utilised (?121),Incident,P3 - Low,Complaint
Refund not issued for 2024 order on meesho,Incident,P3 - Low,Complaint
Cases uploaded in the previous website not appearing in new website,Bug,P1 - High,Fix
Case pending for scrutiny – documents already submitted,Administrative,P2 - Medium,Scrutiny Delay
Return and refund of phone purchased from Flipkart,Incident,P1 - High,Complaint
I AM TRY TO FILE IN DELHI DISTRICT CONSUMER FORUM BUT THERE IS NO OPTION SHOW IN AT TIME OF FILING,Information Only,P3 - Low,Information
Error while filing IA to existing case,Bug,P1 - High,Fix
Insurance fraud,Incident,P3 - Low,Complaint
Non uploading of Order,Administrative,P1 - High,Update Info
Case Status Column not Updated,Administrative,P2 - Medium,Update Info
Wrong quantity delivered – Request for replacement,Incident,P3 - Low,Complaint
No response on reference 202510180345,Administrative,P2 - Medium,Scrutiny Delay
Repeated Reverts despite Full Compliance – Request for Assistance (Self-Filed Case),Administrative,P2 - Medium,Administrative
RETRIVAL OF THE E-FILED CASE IN E-DHAKIL,Information Only,P3 - Low,Information
PG Deposit Scam,Incident,P3 - Low,Complaint
Many cases as a advocate search not shown,Service Request,P2 - Medium,Update Info
Payment Option Not Visible – Filing Reference No. 202512270736,Incident,P1 - High,Payment Issues
URGENT REQUEST FOR DATA RECTIFICATION ON MEDICAL GROUNDS – FINAL HEARINGS NEAR – REMOVAL OF UNRELATED CASE & UNAUTHORIZED COUNSELS.,Administrative,P1 - High,Update Info
Restoration of case and regarding no response on subsquent filing.,Administrative,P2 - Medium,Administrative
Mental harassment by not giving the said refund by Myntra.,Incident,P3 - Low,Complaint
Refund issue,Incident,P3 - Low,Complaint
Delay in Scrutiny of Consumer Complaint – Urgent Request,Administrative,P2 - Medium,Scrutiny Delay
Unable to upload Annexures due to document name validation error – Technical Issue,Bug,P1 - High,Fix
BSNL No Data Connection and Vendor's Zero Work ethics,Incident,P3 - Low,Complaint
In the context of the long delay in processing the application,Administrative,P2 - Medium,Scrutiny Delay
Ref No. 202601161013 is pending since 16 jan,Administrative,P2 - Medium,Scrutiny Delay
OPPO Reno 15 New Phone Problem,Incident,P3 - Low,Complaint
Issue in Filing IA,Information Only,P3 - Low,Information
not able to file IA in an execution,Information Only,P3 - Low,Information
Unable to upload additional documents more than 8 numbers of documents while filing new consumer complaint case.,Bug,P1 - High,Fix
where to check uploaded order in case DC/497/CC/216/2025,Bug,P1 - High,Fix
case ki date show nahi ho rahi hai,Administrative,P1 - High,Update Info
Regarding case is still pending,Administrative,P2 - Medium,Scrutiny Delay
REQUEST TO FACILITATE THE VC LINK IN THE WEBSITE,Administrative,P1 - High,Hearing / VC Requests
Mental Harassment and Deficiency of Service by IndiGo Airlines – Voucher Issued but Not Delivered Despite Multiple Complaints (PNR Z7P5RJ),Incident,P3 - Low,Complaint
TECHNICAL ISSUE : MISSING DOCUMENT UPLOAD IN REVETRED CASE AND AUTO SUBMISSION GLITCH,Bug,P1 - High,Fix
I CANNOT SEE MY CASE,Administrative,P1 - High,Update Info
Non receipt of the Notice and Hard copy of the documents filed',Administrative,P1 - High,Administrative
we can’t file Interlocutory Application,Information Only,P3 - Low,Information
Paid the fees for the consumer conplaint but no case number is generated,Administrative,P2 - Medium,Scrutiny Delay
Technical Issue – Condonation of Delay Application (IA) Not Visible on e-Jagriti Portal,Bug,P1 - High,Fix
ERROR IN FILING INTERLOCUTORY APPLICATION,Bug,P1 - High,Fix
Technical Issue / Jurisdiction Issue,Administrative,P2 - Medium,Administrative
Error in Filing Interlocutory Application,Bug,P1 - High,Fix
Case was not listed from lost 20 days back case was file through portal.. Still file is pending at security kindly rectify and update the same,Administrative,P2 - Medium,Scrutiny Delay
Notification received for back dated Case Hearing Schedule - Case No DC/483/CC/440/2025,Information Only,P3 - Low,Information
Delay in Scrutiny of Case Filed on e-Jagriti,Administrative,P2 - Medium,Scrutiny Delay
Case is in Pending state from last 1 month,Administrative,P2 - Medium,Scrutiny Delay
Can not file IA application,Bug,P1 - High,Fix
long pending case at scrutiny stage,Administrative,P2 - Medium,Scrutiny Delay
Delay in document verification,Administrative,P2 - Medium,Scrutiny Delay
HOW LONG IT TAKES FOR SCRUNITY,Administrative,P2 - Medium,Scrutiny Delay
My Case details does not show in the Know Your Case Number window,Administrative,P1 - High,Update Info
Upload of Order / Next Date – Case DC/144/CC/68/2026,Administrative,P1 - High,Upload / Document Issues
Status of my case : at which stage now stay,Information Only,P3 - Low,Information
The case details and dates is not shown on portal of Case Number DC/469/CC/264/2025 Meera Tukaram Palhal Vs Reliance General Insurance,Bug,P1 - High,Fix
Facing technical issue while filing appeal against an order passed by DCDRC,Bug,P1 - High,Fix
BSNL Recharge of 1500 to mobile number 9448807123 is not received,Incident,P3 - Low,Complaint
Delete option not working in Draft,Bug,P1 - High,Fix
Mobile No 9431628952 Recharged but plan not activated,Incident,P1 - High,Complaint
Unable to submit “Complete Profile” – Mobile number validation error for NRI user,Service Request,P2 - Medium,Update Info
"URGENT: ?28,786 Stuck for Over 1 Year – Mobikwik Xtra & Lendbox Funds Held After RBI Rule | Immediate Legal Intervention Required",Information Only,P3 - Low,Complaint
Delay in Processing of Application Submitted in May 2025,Administrative,P2 - Medium,Scrutiny Delay
Booked hotel reservation but not provided,Incident,P3 - Low,Complaint
Case is under scrutiny for more than one month,Administrative,P2 - Medium,Scrutiny Delay
Please update my email address in my profile,Service Request,P2 - Medium,Update Info
Multiple entries showing for Caveat Application,Service Request,P2 - Medium,Fix
Non-delivery of product and non-responsive seller – Order placed on 4 Nov,Incident,P3 - Low,Complaint
202512180019 case is on pending scrutiny beyond 1 month,Administrative,P2 - Medium,Scrutiny Delay
Urgent Reminder – Delay in Scrutiny & Case Number Generation (FRN: 202502160167),Administrative,P2 - Medium,Scrutiny Delay
Delay in Scrutiny & Case Number Generation (FRN: 202502160167),Administrative,P2 - Medium,Scrutiny Delay
Scrutiny Delay,Administrative,P2 - Medium,Scrutiny Delay
Urgent Reminder: Delay in Scrutiny & Non-Allotment of Case Number – FRN 202502160167,Administrative,P2 - Medium,Scrutiny Delay
Technical Issue for Case Number Not Generated Despite Complete Filing,Bug,P1 - High,Fix
Request for Expeditious Scrutiny of Pending Case – No Update for Several Months,Administrative,P2 - Medium,Scrutiny Delay
Changing Advocate name from Swamy to R.Satyanarayana Swamy,Service Request,P2 - Medium,Update Info
my case number is number : DC/AB1/483/CC/37/2025 . BUT . why i do not get any details of this case in my login account . why i do not get any notifications related to the case on my mobile or email . pls help me ! awaiting .. thk u ..,Service Request,P1 - High,Fix
"APPLICATION IS SUBMITTED, PENDING FOR SCRUTINY",Administrative,P2 - Medium,Scrutiny Delay
Still my case is in pending for scrutiny 202511050668 / 202601100202 !,Administrative,P2 - Medium,Scrutiny Delay
CASE: 202512290608 - NO UPDATE YET,Administrative,P2 - Medium,Scrutiny Delay
Complaint pending for scrutiny – request for status update,Administrative,P2 - Medium,Scrutiny Delay
Refund and compensation complaint against 'Flipkart'...,Incident,P1 - High,Complaint
payment deducted from account but not showing on portal,Incident,P1 - High,Payment Issues
Unable to find case details like proceeding details,Administrative,P1 - High,Update Info
My draft application not removed,Information Only,P3 - Low,Delete Blocked
"APPLICATION IS SUBMITTED, PENDING FOR SCRUTINY ITS DELAY Reference Number-202601170260",Administrative,P2 - Medium,Scrutiny Delay
I want to close the case,Information Only,P3 - Low,Information
thomson washin machine purchase but motor not working since 5months,Incident,P3 - Low,Complaint
non syncing of case,Service Request,P1 - High,Fix
Complaint pending for scrutiny beyond 55 days – no response received,Administrative,P2 - Medium,Scrutiny Delay
Filed Reply Not Visible in Online Web Site,Bug,P1 - High,Fix
Case Details Not Visible in Profile – Filing Reference No. 20251217168,Service Request,P2 - Medium,Update Info
Filing Reference Number-202511080233 NO Reply on E-jagrati complaint,Information Only,P3 - Low,Information
Case against Bajaj finserve,Incident,P3 - Low,Complaint
Case still awaiting Scrutiny,Administrative,P2 - Medium,Scrutiny Delay
Case pending for scrutiny despite correction of jurisdiction,Administrative,P2 - Medium,Scrutiny Delay
Unable to see case status,Service Request,P2 - Medium,Fix
Planet spark refund issue,Incident,P1 - High,Complaint
My case in scrutiny pending,Administrative,P2 - Medium,Scrutiny Delay
Technical issue – Review petition under Sec. 47(1)(b) incorrectly filed as IA in Akola District Commission,Bug,P1 - High,Fix
Reminder for Pending Consumer Complaint (Filed on 10/01/2026),Information Only,P3 - Low,Information
Case in Pending for months,Information Only,P3 - Low,Information
"“The case-wise details are not opening on the e-Jagriti advocate dashboard. Therefore, this ticket is raised for technical assistance.”",Service Request,P2 - Medium,Fix
ACER TV COMPLAINT,Incident,P3 - Low,Complaint
"“Consumer Complaint Against Bank for 3-Year Loan Delay, Negligence & Mental Harassment",Incident,P3 - Low,Complaint
"Product lost from company end, refund not processed.",Incident,P3 - Low,Complaint
next hearing date and also order not updated,Administrative,P1 - High,Update Info
Technical Issue – Order Copy and Next Hearing Date Not Visible,Bug,P1 - High,Fix
payment of court fee,Incident,P3 - Low,Complaint
Case pending for scrutiny on e-Dakhil/e-Jagriti portal for prolonged period,Bug,P1 - High,Fix
Unable to Access Info,Service Request,P1 - High,Fix
Wrong order delivered,Information Only,P3 - Low,Complaint
"e-Jagriti Portal – Non-Updation of Case Status since August, 2025 after Scrutiny Compliance",Administrative,P2 - Medium,Scrutiny Delay
Draft cases not deleting,Service Request,P2 - Medium,Delete Blocked
Revert Replay,Information Only,P3 - Low,Information
Once again payment got deducted but not showing in account,Incident,P3 - Low,Complaint
submitted reply not showing for case DC/83/CC/311/2025 for Application No. 202509140426,Bug,P1 - High,Fix
Technical issue related to filed cases pocket in the website. And,Bug,P1 - High,Fix
I can't update my profile,Service Request,P2 - Medium,Fix
Case pending for scrutiny,Administrative,P2 - Medium,Scrutiny Delay
Complaint for Non-Delivery of Courier and Deficiency in Service by DTDC,Incident,P3 - Low,Complaint
202601231020 - E-Jagriti compliant pending for scrutiny for more than 15 days,Administrative,P2 - Medium,Scrutiny Delay
"Requesting to process the case by commision - Reg, Case Number : DC/AB1/520/CC/151/2025",Information Only,P3 - Low,Information
Judgment/Decree,Information Only,P3 - Low,Information
Filed execution petition no response,Information Only,P3 - Low,Information
e-Daakhil Case Not Visible – Application No. 202601130560,Bug,P1 - High,Fix
Complaint against Krafton India for Deficiency in Service and failure to resolve unauthorized account access despite forensic evidence..,Incident,P3 - Low,Complaint
Cant upload new vakalatnama reference number 202602040200,Bug,P1 - High,Fix
Hearing Intimation Received at 2:52 PM on 06/02/2026,Administrative,P2 - Medium,Scrutiny Delay
No update received after filing consumer complaint on 30-10-2025,Administrative,P2 - Medium,Scrutiny Delay
Error Message: FA cannot be filed. Interlocutory Application,Bug,P1 - High,Fix
Defective iPhone 15 Plus – Thermal Explosion & No Resolution from Apple,Incident,P3 - Low,Complaint
Causelist display issue,Administrative,P1 - High,Update Info
"Reply to NC/RP/3176/2024 ref RefID_20250392095 submitted on 05-02-2026 04:56 AM, But status is showing as ""Documents Pending for approval""",Administrative,P2 - Medium,Scrutiny Delay
Case pending for scrutiny – documents re-uploaded,Bug,P1 - High,Fix
Case Status View History issue,Administrative,P1 - High,Update Info
My case not displayed in the dashboard,Bug,P1 - High,Fix
My case filed in eDakhil portal not displayed in the dashboard,Bug,P1 - High,Fix
pending revision before NCDRC for scrutiny,Administrative,P2 - Medium,Scrutiny Delay
202512180019 case is on pending scrutiny beyond 1 month,Administrative,P2 - Medium,Scrutiny Delay
complaint against not easy process file a complaint in forum,Information Only,P3 - Low,Information
payment not able to do,Incident,P3 - Low,Complaint
Know your case numer gives no result,Information Only,P3 - Low,Information
Regarding the filing of First Appeal before the State Commission Punjab,Information Only,P3 - Low,Information
Case pending with Secretary – Case number not generated,Administrative,P2 - Medium,Scrutiny Delay
Application pending for scrutiny – Case number not generated,Administrative,P2 - Medium,Scrutiny Delay
Product not delivered,Information Only,P3 - Low,Information
SC/33/FA/597/2025,Information Only,P3 - Low,Information
Name Change Request,Service Request,P2 - Medium,Update Info
Product in warranty but service is not provided after so many complaints,Incident,P3 - Low,Complaint
Clarification regarding jurisdiction and filing of fresh consumer complaint,Administrative,P2 - Medium,Administrative
Unable to File First Appeal in CC/140/2021 NEW DELHI DISTRICT COMMISSION,Information Only,P3 - Low,Information
TV company( VW) not providing service for their under warranty product.,Incident,P3 - Low,Complaint
My all case was resolved.....,Information Only,P3 - Low,Information
NOT ABLE TO WORK OUT,Information Only,P3 - Low,Information
Refund Denial for Unused Cult Membership - Unfair Trade Practice,Incident,P3 - Low,Complaint
Not able to update profile name and Role,Service Request,P2 - Medium,Update Info
Request for processing of complaint pending for scrutiny,Administrative,P2 - Medium,Scrutiny Delay
